TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
7056:36	it's like, i'd like *-1 to know where they determine *t*-2 that i'm such a good credit risk that they can go and say, you get this much credit line. you know.	###uh-huh.###speakerb65.###speakera66.###right.###speakerb67.###because i,###speakera68.###well, i think 0 that's the only thing 0 you can do *t*-1, is just * say no and mean no and, not be tempted *-2.###speakerb69.###yeah.	where	yes		where they determine *t*-2 that i'm such a good credit risk that they can go and say, you get this much credit line	yes	it's like, i'd like *-1 to know   you know 	.	...what is a place...	...what is every place...	...what is the place...
62100:89	but it definitely would give a lot of the kids now that *t*-4 have everything *ich*-2 given *-1 to them that they want *t*-3 to see what it's like *t*-6 if you don't have all the money and can't have what you want *t*-5 when you want it *t*-7.	###speakerb48.###right.###yeah.###speakera49.###and, yes,###you're right,###i think 0 it's a sixties program.###i think 0 it was one of kennedy's hot points that he,###that was his big deal.###speakerb50.	what	yes		what it's like *t*-6 if you don't have all the money and can't have what you want *t*-5 when you want it *t*-7	yes	but it definitely would give a lot of the kids now that *t*-4 have everything *ich*-2 given *-1 to them that they want *t*-3 to see  	.	...what is a thing...	...what is every thing...	...what is the thing...
16096:37	well, it says, why would you, what you would have *t*-1 for a dinner party.	###bye-bye.###speakera1.### ok-, okay.###speakerb2.### what, what is,###do you have a favorite recipe?###speakera3.###um, yeah,###that's what it said * to discuss *t*-1 some###maybe a recipe,	what	yes		why would you, what you would have *t*-1 for a dinner party	yes	well, it says,  	.	...what is a thing...	...what is every thing...	...what is the thing...
129841:25	and, uh, i don't know what they could do more of *t*-1 exactly around here right now other than, uh,	###speakerb64.###speakera65.###that's right.###speakerb66.###speakera67.###yeah.###speakerb68.###speakera69.###yeah.###speakerb70.	what	yes		what they could do more of *t*-1	yes	and  uh  i don't know  exactly around here right now other than  uh 	,	...what is a thing...	...what is every thing...	...what is the thing...
33165:48	and before i had my second child we sort of had a contest *ich*-1 going where you know he would cook and then the next time it would be my turn and i'd try *-2 to outdo him *t*-4 and then he'd try *-3 to outdo me *t*-4	###yeah###that's what i wish 0 i had *t*-1###but in our family i am the one who who *t*-1 cooks###and i i really enjoy it###it's gotten a little more difficult with kids###but i really do enjoy cooking###and we um we have them over for dinner back and forth quite a lot###speakera67.###uh-huh###speakerb68.	where	yes		where you know he would cook and then the next time it would be my turn and i'd try *-2 to outdo him *t*-4 and then he'd try *-3 to outdo me *t*-4	yes	and before i had my second child we sort of had a contest *ich*-1  oin 	g	...what is a place...	...what is every place...	...what is the place...
78582:68	like, uh, like to me, i don't, i didn't know what *t*-1 would have been wrong with,	###speakera49.###speakerb50.###uh-huh.###speakera51.###if they could make it more, oh, easier * to find out, you know, what *t*-1's going on.###do you know what i mean *t*-1?###speakerb52.###yeah,###yeah.###speakera53.	what	yes		what *t*-1 would have been wrong with	yes	like  uh  like to me  i don't  i didn't know  	,	...what is a thing...	...what is every thing...	...what is the thing...
48296:72	um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,	###or, you know, i can't think of *-1 ever hearing on the news or whatnot or hearing or knowing anybody who *t*-2 was being robbed *-3###but good thing 0 they had their gun on them###and they, they thwarted the robbery attempt.###speakerb26.###yeah,### i, i'm, i'm not really sure,### i don't, personally i don't own a gun,###speakera27.###uh-huh.###speakerb28.	how	no	no	how *-2 to handle one *t*-3	yes	um  and i don't think 0 i probably ever would *?*  um  although i would like *-1 to know  	,	...what is a way...	...what is every way...	...what is the way...
9726:25	but the imagination of, * look what we can do *t*-1	###i think 0 some shows, some,###star trek, i,###for the imagination of it all.###the idea, i, i think 0 that's one of the things *ich*-2 0 i like *t*-1 about star trek.###speakerb78.###uh-huh.###speakera79.###and is, is the,###even in for kids * watching some of it can be a little violent sometimes and stuff.###i don't let my little ones watch it,	what	yes		what we can do *t*-1	yes	but the imagination of, * loo 	k	...what is a thing...	...what is every thing...	...what is the thing...
38718:20	and, i don't know when i'm going *-1 to get to them all *t*-2.	###oh, uh-huh.###speakerb86.###so.###speakera87.###it's just, i was just thinking,### at, at rossa they tend *-1 to come out with a new book every couple of weeks just *-2 to help us deal with all the things that we have *-3 to deal with *t*-4.###speakerb88.###uh-huh.###speakera89.###so, i keep *-1 getting stacks of books 0 i need *-2 to read *t*-3,	when	no	yes	when i'm going *-1 to get to them all *t*-2	no	and, i don't know  	.	...what is a time...	...what is every time...	...what is the time...
43156:16	hm, i wonder why it does *t*-1?	###uh, i found one thing that, *t*-1 it's kind of a weird thing 0 * to say * to put *t*-2 out on the lawn,###but, every time 0 i've done it *t*-1, it's got-, it, it drives the fleas completely out of the area.###speakera41.###speakerb42.###speakera43.###what?###speakerb44.###powdered sulphur.###speakera45.###oh, really?	why	no	yes	why it does *t*-1	no	hm, i wonder  	?	...what is a reason...	...what is every reason...	...what is the reason...
81032:16	i don't see why they have *-1 to do that *t*-2,	###yeah.###speakera53.###the part where they're shooting mercy *t*-1.###speakerb54.###i don't like that.###speakera55.### that, oh, that's horrible,###that is horrible###and their, their, the language on that's filthy.###speakerb56.	why	no	yes	why they have *-1 to do that *t*-2	no	i don't see  	,	...what is a reason...	...what is every reason...	...what is the reason...
